Order,Date,Transect,UniqueID,tag #,Sun.Shade,Excluded.QC,Excluded.Branch.Length,Diam.Length,Branch #,Branch Diameter,Y1/Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M/O,O1,O2,O,Notes,Branch was 1 meter,Excluded for ESA Talk,order of entry
321,11.13.2013,,TR11_,TR11_,shade,,,"15.78, 16.12",TR11_11.13.2013_SH4,,0,0,0,0,188,0,0,588,0,0,0,0,169,,,,
322,11.13.2013,,TR11_,TR11_,sun,,,"11.72, 12.15",TR11_11.13.2013_SU3.1,,0,0,0,0,39,0,0,482,0,0,0,0,30,,,,
323,11.13.2013,,TR11_,TR11_,sun,,,"14.11, 14.70",TR11_11.13.2013_SU3.2,,0,0,0,0,17,0,0,538,0,0,0,0,54,,,,
324,11.13.2013,,TR11_,TR11_,sun,,,NA,TR11_11.13.2013_SU3.3,,0,0,0,0,60,0,0,262,0,0,0,0,80,,,,
325,11.13.2013,,TR11_,TR11_,sun,,,NA,TR11_11.13.2013_SU3.4,,0,0,0,0,23,0,0,156,0,0,0,0,49,,,,
326,11.13.2013,,TR11_,TR11_,sun,,,NA,TR11_11.13.2013_SU3.5,,0,0,0,0,18,0,0,215,0,0,0,0,66,,,,
327,11.13.2013,,TR11_,TR11_,sun,,,NA,TR11_11.13.2013_SU3.6,,0,0,0,0,22,0,0,99,0,0,0,0,28,,,,
328,11.14.2013,,TR232_,TR232_,MC,,,"10.4, 10.9",TR232_11.14.2013_1,,0,0,0,0,0,0,0,100,0,0,0,0,9,,,,
329,11.14.2013,,TR232_,TR232_,MC,,,"10.97, 11.19",TR232_11.14.2013_2,,0,0,0,0,0,0,0,40,0,0,0,0,22,,,,
330,11.15.2013,,US1_,US1_,US,,,"11.65, 12.22",US1_500?_11.15.2013_1,,0,0,0,0,0,0,0,116,0,0,0,0,32,,,,
331,11.15.2013,,US1_,US1_,US,,,"7.5, 7.94",US1_500?_11.15.2013_2,,0,0,0,0,0,0,0,37,0,0,0,0,43,,,,
332,11.15.2013,,TR502_,TR502_,MC,,,"11.65, 12.22 @ 0.77m",TR502_11.15.2013_1,,0,0,0,0,0,0,0,58,0,0,0,0,30,,,,
333,11.15.2013,,TR502_,TR502_,MC,,,"19.79, 19.8",TR502_11.15.2013_2,,0,0,0,0,0,0,0,219,0,0,0,0,40,,,,
334,11.15.2013,,TR500_,TR500_,sun,,,"19.05, 19.12",TR500_11.15.2013_SUN1,,0,0,0,15,0,0,0,41,0,0,0,0,43,,,,
335,11.15.2013,,TR500_,TR500_,sun,,,"17.81, 18.12",TR500_11.15.2013_SUN2,,0,0,0,8,0,0,0,45,0,0,0,0,9,,,,
336,11.15.2013,,TR500_,TR500_,shade,,,"17.08, 17.63@0.7m",TR500_11.15.2013_SH1,,0,0,0,15,1,0,0,39,0,0,0,0,22,,,,
337,11.15.2013,,TR500_,TR500_,shade,,,"13.97, 14.29",TR500_11.15.2013_SH2,,0,0,0,4,0,0,0,55,0,0,0,0,2,,,,
338,11.18.2013,,TR10_,TR10_,lo,,,"8.41, 8.6",TR10_11.18.2013_LO,,0,0,0,0,0,0,0,453,0,0,0,0,95,,,,
339,11.18.2013,,TR10_,TR10_,hi,,,"8.4, 9.33",TR10_11.18.2013_HI,,0,0,0,0,0,0,0,628,0,0,0,0,43,,,,
340,11.18.2013,,TR9_,TR9_,sun,,,"15.16, 16.01 @0.95m",TR9_11.18.2013_SU1_Sub1+2+others,,0,0,0,99,3,0,0,186,0,0,0,0,143,,,,
341,11.18.2013,,TR9_,TR9_,sun,,,"13.1, 13.7",TR9_11.18.2013_SU1_Sub5,,0,0,0,33,0,0,0,92,0,0,0,0,78,,,,
342,11.18.2013,,TR9_,TR9_,shade,,,"9.14, 9.5",TR9_11.18.2013_SH1,,0,0,0,22,0,0,0,49,0,0,0,0,13,,,,
343,11.19.2013,,TR9_,TR9_,sun,,,"17.28, 18",TR9_11.18.2013_SU2,,0,0,0,128,0,0,0,441,0,0,0,0,22,,,,
344,11.19.2013,,TR118_,TR118_,sun,,,"22.47, 23.14",TR118_11.19.2013_SU1,,0,0,0,0,0,0,0,508,0,0,0,0,153,,,,
345,11.19.2013,,TR118_,TR118_,sun,,,"22.11, 23.36",TR118_11.19.2013_SU1,,0,0,0,0,0,0,0,257,0,0,0,0,241,,,,
346,11.19.2013,,TR117_,TR117_,MC,,,"10.22, 10.71",TR117_11.19.2013_1,,0,0,0,3,3,0,0,69,0,0,0,0,40,,,,
347,11.19.2013,,TR117_,TR117_,MC,,,"8.7, 8.96",TR117_11.19.2013_2,,0,0,0,28,7,0,0,64,0,0,0,0,55,,,,
348,11.19.2013,,US3_TR118,US3_TR118,US,,,"5.38, 7.09",US3_TR118_11.19.2013,,0,0,0,0,0,0,0,260,0,0,0,0,0,,,,
349,11.19.2013,,TR3436_,TR3436_,MC,,,"9.01, 10.07",TR3436_11.19.2013,,0,0,0,0,0,0,0,195,0,0,0,0,0,,,,
350,11.19.2013,,US2_TR118,US2_TR118,US,,,"11.13, 11.78",US2_TR118_11.19.2013,,0,0,0,8,0,0,0,66,0,0,0,0,10,,,,
351,11.21.2013,,TRUS1_TR504,TRUS1_TR504,US,,,"8.78, 9.11",US1_504_11.21.2013,,0,0,0,13,0,0,0,51,0,0,31,14,0,,,,
352,11.21.2013,,MC_TR504,MC_TR504,MC,,,"6.49, 6.77 @0.75",MC_TR504_1_11.21.2013,,0,0,0,0,1,7,8,0,0,0,0,0,0,,,,
353,11.21.2013,,MC_TR504,MC_TR504,MC,,,N/A,MC_TR504_2_11.21.2013,,0,0,0,8,2,28,21,0,7,0,0,0,4,,,,
354,11.21.2013,,MC_TR504,MC_TR504,MC,,,"8.52, 9.09",MC_TR504_3_11.21.2013,,0,0,0,5,0,7,10,0,0,0,0,0,0,,,,
355,11.21.2013,,TR504_,TR504_,shade,,,"6.61, 7.35 @0.7m",TR504_SH_sb1,,0,0,0,0,0,0,0,272,0,0,0,0,3,,,,
356,11.21.2013,,TR504_,TR504_,shade,,,"9.38, 10.13",TR504_SH_sb4,,0,0,0,0,0,0,0,100,0,0,0,0,6,,,,
357,11.21.2013,,TR504_,TR504_,sun,,,"11.54, 11.55",TR504_SU_sb1,,0,0,0,0,0,0,0,968,0,0,0,0,0,,,,
358,11.21.2013,,TR504_,TR504_,sun,,,"14.4, 14.9",TR504_SU_sb1+sub2,,0,0,0,0,0,0,0,1477,0,0,0,0,0,,,,
359,3.23.2014,,TR9_,TR9_,sun,,,"23.5, 25.5",TR9_SU_03232014,,0,0,0,0,0,0,0,544,0,0,17,37,0,,,,
360,3.23.2014,,TR9_,TR9_,shade,,,10.3,TR9_SH_03232014,,0,0,0,0,0,0,0,67,0,0,37,0,0,,,,
361,3.24.2014,,MC1_TR502,MC1_TR502,MC,,,"7.13, 7.23",MC1_TR502_demog,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
362,3.24.2014,,US1_TR504,US1_TR504,US,,,"6.8, 7.4",US1_TR504_B2,,0,0,0,1,0,0,0,3,0,0,0,0,4,,,,
363,3.25.2014,,TR500SH1_,TR500SH1_,shade,,,"11.3, 11.8",TR500SH1,,0,0,0,3,0,0,0,16,0,9,0,0,10,,,,
364,3.25.2014,,TR500_,TR500_,sun,,,"20.4, 20.8",TR500_SU_demog,,0,0,0,38,0,0,0,67,0,0,0,0,36,,,,
365,3.25.2014,,TR500SH_,TR500SH_,shade,,,"12.7, 13.1",TR500SH_demog,,0,0,0,7,0,0,0,11,0,0,0,0,7,,,,
366,3.26.2014,,TR504_,TR504_,shade,,,"9.5, 9.7",TR504_SH_demog,,0,0,0,50,0,0,0,501,0,0,2,38,0,,,,
367,3.26.2014,,TR504_,TR504_,sun,,,"14.3, 14.5",TR504_SU_demog,,0,0,0,0,0,0,0,659,0,0,0,311,0,,,,
368,3.28.2014,,TR502_,TR502_,hi,,,"19.6, 19.9",TR502_hi_demog,,0,0,0,0,0,0,0,144,0,0,0,0,25,,,,
369,3.28.2014,,TR502_,TR502_,lo,,,"12.75, 13.01",TR502_lo_demog,,0,0,0,0,0,0,0,45,0,0,0,0,19,,,,
370,3.28.2014,,US1_TR500,US1_TR500,US,,,"11.82, 12.01",US1_TR500_B2_demog,,0,0,0,0,0,0,0,133,0,0,0,0,44,,,,
371,3.29.2014,,TR117_,TR117_,MC,,,"10.62, 11.6",TR117_B3_demog,,0,0,0,0,0,0,0,56,0,0,0,0,40,,,,
372,3.29.2014,,TR118_,TR118_,shade,,,"15.26, 14.06",TR118_SH_B1,,0,0,0,0,0,0,0,109,0,2.5,0,0,39,,,,
373,3.29.2014,,TR118_,TR118_,shade,,,"17.59, 17.68",TR118_SH_B2,,0,0,0,0,0,0,0,189,0,2.5,0,0,66,,,,
374,3.29.2014,,TR3436_,TR3436_,MC,,,"11.16, 12.31",TR3436_Tag7,,0,0,0,0,0,0,0,94,0,0,0,0,6,,,,
375,3.29.2014,,US2_TR118,US2_TR118,US,,,"10.11, 10.78",US2_TR118_Tag2,,0,0,0,23,0,0,0,36,0,0,22,8,1,,,,
376,3.29.2014,,TR118_,TR118_,sun,,,"25.55, 25.87",TR118_SU,,0,0,0,0,0,0,0,469,0,0,0,0,204,,,,
377,3.29.2014,,TR117_,TR117_,MC,,,14.16,TR117_Tag34,,0,0,0,0,0,0,0,290,0,0,0,0,118,,,,
378,3.29.2014,,TR3436_,TR3436_,MC,,,"13.21, 13.91",TR3436_B3,,0,0,0,0,0,0,0,135,0,0,0,0,5,,,,
379,3.30.2014,,US1_TR11,US1_TR11,US,,,"10.48, 10.67",US1_TR11,,0,0,0,0,0,0,0,28,0,0,11,2,2,,,,
380,3.30.2014,,TR591_,TR591_,lo,,,"5.71, 6.61",TR591_lo,,0,0,0,0,0,0,0,143,0,0,0,0,38,,,,
381,3.30.2014,,TR591_,TR591_,hi,,,"10.59, 11.12",TR591_hi,,0,0,0,0,0,0,0,514,0,0,0,13,125,,,,
382,3.30.2014,,TR11_,TR11_,shade,,,"13.81, 14.3",TR11_SH,,0,0,0,329,0,0,0,80,0,0,0,3,267,,,,
383,3.30.2014,,TR11_,TR11_,sun,,,"20.92, 21.24",TR11_SU,,0,0,0,59,0,0,0,1549,0,0,0,44,268,,,,
384,3.30.2014,,TR590_,TR590_,lo,,,"10.4, 10.9 @ 0.8m",TR590_lo,,0,0,0,0,0,0,0,305,0,0,0,90,5,,,,
385,3.30.2014,,TR590_,TR590_,hi,,,"17.79, 18.71",TR590_hi,,0,0,0,0,0,0,0,507,0,0,0,43,116,,,,
386,3.30.2014,,TR232_,TR232_,MC,,,"10.1, 10.8",TR232_B2,,0,0,0,0,0,0,0,138,0,0,0,1,1,,,,
387,4.01.2014,,TR10_,TR10_,hi,,,"10.3, 10.33",TR10_hi,,0,0,0,0,0,0,0,526,0,0,0,0,63,,,,
388,4.01.2014,,TR10_,TR10_,lo,,,"8.81, 9.13",TR10_lo,,0,0,0,0,0,0,0,271,0,0,0,0,96,,,,
